factor,direction,database,pathway_id,pathway_description,gene_ratio,bg_ratio,nominal_pvalue,fdr_bh,gene_count,enriched_genes,evidence_status
Factor2,Negative,GO_Biological_Process,GO:1903047,mitotic cell cycle process,36/97,57/828,1.4911048411883e-22,3.86693188814833e-20,36,MYBL2/SPHK1/CDC20/UBE2C/CEP55/KIF2C/SKA1/GTSE1/ANLN/PLK1/KIF18B/BUB1B/TRIP13/KIF20A/BIRC5/KIF4A/DLGAP5/CENPF/KIF23/AURKB/NUF2/CCNB2/MKI67/KIFC1/CDK1/NCAPG/MELK/FOXM1/TTK/CDT1/CCNE1/CDC25C/SKA3/UHRF1/CDKN3/CCNA2,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0022402,cell cycle process,41/97,76/828,3.53243099235113e-22,7.85208946299765e-20,41,MYBL2/SPHK1/CDC20/UBE2C/CEP55/KIF2C/SKA1/GTSE1/ANLN/PLK1/KIF18B/BUB1B/TRIP13/TOP2A/KIF20A/BIRC5/KIF4A/DLGAP5/CENPF/KIF23/AURKB/NUF2/CCNB2/HJURP/MKI67/KIFC1/CDK1/NCAPG/CENPM/PTTG1/MELK/FOXM1/LIF/TTK/CDT1/CCNE1/CDC25C/SKA3/UHRF1/CDKN3/CCNA2,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0000070,mitotic sister chromatid segregation,23/97,24/828,6.65234235654361e-22,1.29388058834773e-19,23,MYBL2/CDC20/UBE2C/KIF2C/SKA1/PLK1/KIF18B/BUB1B/TRIP13/BIRC5/KIF4A/DLGAP5/CENPF/KIF23/AURKB/NUF2/KIFC1/CDK1/NCAPG/TTK/CDT1/SKA3/UHRF1,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0000819,sister chromatid segregation,24/97,26/828,7.56615613377745e-22,1.30810432712864e-19,24,MYBL2/CDC20/UBE2C/KIF2C/SKA1/PLK1/KIF18B/BUB1B/TRIP13/TOP2A/BIRC5/KIF4A/DLGAP5/CENPF/KIF23/AURKB/NUF2/KIFC1/CDK1/NCAPG/TTK/CDT1/SKA3/UHRF1,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0000278,mitotic cell cycle,36/97,61/828,4.46544005328934e-21,6.94822472291822e-19,36,MYBL2/SPHK1/CDC20/UBE2C/CEP55/KIF2C/SKA1/GTSE1/ANLN/PLK1/KIF18B/BUB1B/TRIP13/KIF20A/BIRC5/KIF4A/DLGAP5/CENPF/KIF23/AURKB/NUF2/CCNB2/MKI67/KIFC1/CDK1/NCAPG/MELK/FOXM1/TTK/CDT1/CCNE1/CDC25C/SKA3/UHRF1/CDKN3/CCNA2,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0051276,chromosome organization,28/97,37/828,9.97469275002682e-21,1.41096562900379e-18,28,MYBL2/CDC20/UBE2C/KIF2C/SKA1/PLK1/KIF18B/BUB1B/TRIP13/TOP2A/BIRC5/KIF4A/DLGAP5/CENPF/KIF23/AURKB/NUF2/HJURP/KIFC1/CDK1/NCAPG/PTTG1/EXO1/TTK/CDT1/CCNE1/SKA3/UHRF1,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0007049,cell cycle,43/97,91/828,2.44027290192761e-20,3.16422052949947e-18,43,MYBL2/SPHK1/CDC20/UBE2C/CEP55/KIF2C/TRNP1/SKA1/GTSE1/ANLN/PLK1/KIF18B/BUB1B/TRIP13/TOP2A/KIF20A/BIRC5/KIF4A/DLGAP5/CENPF/KIF23/AURKB/NUF2/CCNB2/HJURP/MKI67/KIFC1/CDK1/NCAPG/CENPM/PTTG1/MELK/FOXM1/EXO1/LIF/TTK/CDT1/CCNE1/CDC25C/SKA3/UHRF1/CDKN3/CCNA2,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0051301,cell division,26/97,44/828,4.63812781986492e-15,5.55148222131525e-13,26,CDC20/UBE2C/CEP55/KIF2C/ANLN/PLK1/KIF18B/BUB1B/TOP2A/KIF20A/BIRC5/KIF4A/CENPF/KIF23/AURKB/NUF2/CCNB2/KIFC1/CDK1/NCAPG/PTTG1/CDT1/CCNE1/CDC25C/SKA3/CCNA2,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0051983,regulation of chromosome segregation,17/97,19/828,5.51731021202927e-15,6.13209620708396e-13,17,CDC20/UBE2C/KIF2C/SKA1/PLK1/BUB1B/TRIP13/BIRC5/DLGAP5/CENPF/AURKB/NUF2/MKI67/CDK1/NCAPG/TTK/SKA3,Robust Supported
Factor2,Negative,GO_Biological_Process,GO:0044772,mitotic cell cycle phase transition,23/97,36/828,2.10170104456626e-14,2.18016455023007e-12,23,CDC20/UBE2C/SKA1/GTSE1/ANLN/PLK1/BUB1B/TRIP13/BIRC5/DLGAP5/CENPF/AURKB/NUF2/CCNB2/CDK1/MELK/FOXM1/TTK/CCNE1/CDC25C/SKA3/CDKN3/CCNA2,Robust Supported
