factor,direction,database,pathway_id,pathway_description,gene_ratio,bg_ratio,nominal_pvalue,fdr_bh,gene_count,enriched_genes,evidence_status
Factor3,Positive,KEGG_Pathway,hsa00600,Sphingolipid metabolism,3/51,6/493,0.0167046729728006,0.852513567181245,3,PLPP2/B4GALNT1/NEU4,Exploratory
Factor3,Positive,KEGG_Pathway,hsa04010,MAPK signaling pathway,4/51,16/493,0.072443098285892,0.852513567181245,4,FGF21/MAPK8IP2/MAPT/MAPK12,Not Significant
Factor3,Positive,KEGG_Pathway,hsa05130,Pathogenic Escherichia coli infection,3/51,10/493,0.0742792985841309,0.852513567181245,3,WIPF3/CLDN4/MAPK12,Not Significant
Factor3,Positive,KEGG_Pathway,hsa05022,Pathways of neurodegeneration - multiple diseases,3/51,11/493,0.0948448513315206,0.852513567181245,3,GPX2/MAPT/MAPK12,Not Significant
Factor3,Positive,KEGG_Pathway,hsa00040,Pentose and glucuronate interconversions,3/51,12/493,0.117477389094554,0.852513567181245,3,AKR1B10/UGT2B11/UGT2B15,Not Significant
Factor3,Positive,KEGG_Pathway,hsa05012,Parkinson disease,2/51,6/493,0.120121502579796,0.852513567181245,2,SLC39A4/MAPT,Not Significant
Factor3,Positive,KEGG_Pathway,hsa05140,Leishmaniasis,2/51,6/493,0.120121502579796,0.852513567181245,2,EEF1A2/MAPK12,Not Significant
Factor3,Positive,KEGG_Pathway,hsa05208,Chemical carcinogenesis - reactive oxygen species,3/51,13/493,0.141926176249797,0.852513567181245,3,NQO1/AKR1C2/MAPK12,Not Significant
Factor3,Positive,KEGG_Pathway,hsa05014,Amyotrophic lateral sclerosis,2/51,7/493,0.157326078651963,0.852513567181245,2,GPX2/MAPK12,Not Significant
Factor3,Positive,KEGG_Pathway,hsa05218,Melanoma,2/51,7/493,0.157326078651963,0.852513567181245,2,FGF21/CDKN2A,Not Significant
Factor3,Positive,KEGG_Pathway,hsa05171,Coronavirus disease,3/51,15/493,0.195229311570826,0.852513567181245,3,RPS4Y1/MAPK12/RPL39L,Not Significant
Factor3,Positive,KEGG_Pathway,hsa04670,Leukocyte transendothelial migration,2/51,8/493,0.196355158969096,0.852513567181245,2,CLDN4/MAPK12,Not Significant
Factor3,Positive,KEGG_Pathway,hsa05135,Yersinia infection,2/51,8/493,0.196355158969096,0.852513567181245,2,WIPF3/MAPK12,Not Significant
Factor3,Positive,KEGG_Pathway,hsa00980,Metabolism of xenobiotics by cytochrome P450,5/51,31/493,0.207008113106258,0.852513567181245,5,AKR7A3/ALDH3A1/UGT2B11/UGT2B15/ADH1C,Not Significant
Factor3,Positive,KEGG_Pathway,hsa01240,Biosynthesis of cofactors,3/51,16/493,0.223564591559657,0.852513567181245,3,NQO1/UGT2B11/UGT2B15,Not Significant
Factor3,Positive,KEGG_Pathway,hsa00860,Porphyrin metabolism,2/51,9/493,0.236453371677833,0.852513567181245,2,UGT2B11/UGT2B15,Not Significant
Factor3,Positive,KEGG_Pathway,hsa04750,Inflammatory mediator regulation of TRP channels,2/51,9/493,0.236453371677833,0.852513567181245,2,MAPK12/TRPM8,Not Significant
Factor3,Positive,KEGG_Pathway,hsa05010,Alzheimer disease,2/51,9/493,0.236453371677833,0.852513567181245,2,SLC39A4/MAPT,Not Significant
Factor3,Positive,KEGG_Pathway,hsa00053,Ascorbate and aldarate metabolism,2/51,10/493,0.276996889951258,0.852513567181245,2,UGT2B11/UGT2B15,Not Significant
Factor3,Positive,KEGG_Pathway,hsa00350,Tyrosine metabolism,2/51,10/493,0.276996889951258,0.852513567181245,2,ALDH3A1/ADH1C,Not Significant
Factor3,Negative,GO_Biological_Process,GO:0050853,B cell receptor signaling pathway,9/97,10/828,2.67512339564452e-08,4.47013119412198e-05,9,IGHA1/CD38/IGHM/IGHA2/IGHG2/IGKC/IGLC3/IGHG3/IGHG4,Robust Supported
Factor3,Negative,GO_Biological_Process,GO:0002443,leukocyte mediated immunity,15/97,30/828,1.35271571551251e-07,0.00011301939803107,15,IGHA1/CD8A/IGHM/IGHA2/IL7R/IGLC2/DBH/IGHG2/DNASE1L3/IGKC/IGLC3/IGHG3/IGHG4/NR4A3/SVEP1,Robust Supported
Factor3,Negative,GO_Biological_Process,GO:0002429,immune response-activating cell surface receptor signaling pathway,14/97,30/828,1.11376105560414e-06,0.000474046744044372,14,IGHA1/CD38/CD8A/IGHM/IGHA2/IGHG2/FCN3/IGKC/TLR2/IGLC3/CD3E/IGHG3/IGHG4/NR4A3,Robust Supported
Factor3,Negative,GO_Biological_Process,GO:0050851,antigen receptor-mediated signaling pathway,11/97,19/828,1.13476180501346e-06,0.000474046744044372,11,IGHA1/CD38/CD8A/IGHM/IGHA2/IGHG2/IGKC/IGLC3/CD3E/IGHG3/IGHG4,Robust Supported
Factor3,Negative,GO_Biological_Process,GO:0002768,immune response-regulating cell surface receptor signaling pathway,14/97,32/828,2.9497177391749e-06,0.000985795668432251,14,IGHA1/CD38/CD8A/IGHM/IGHA2/IGHG2/FCN3/IGKC/TLR2/IGLC3/CD3E/IGHG3/IGHG4/NR4A3,Robust Supported
Factor3,Negative,GO_Biological_Process,GO:0002449,lymphocyte mediated immunity,12/97,25/828,4.95865110987936e-06,0.0013809843341014,12,IGHA1/CD8A/IGHM/IGHA2/IL7R/IGLC2/IGHG2/IGKC/IGLC3/IGHG3/IGHG4/SVEP1,Robust Supported
Factor3,Negative,GO_Biological_Process,GO:0016064,immunoglobulin mediated immune response,10/97,19/828,1.17631102968207e-05,0.00245701966324843,10,IGHA1/IGHM/IGHA2/IGLC2/IGHG2/IGKC/IGLC3/IGHG3/IGHG4/SVEP1,Robust Supported
Factor3,Negative,GO_Biological_Process,GO:0019724,B cell mediated immunity,10/97,19/828,1.17631102968207e-05,0.00245701966324843,10,IGHA1/IGHM/IGHA2/IGLC2/IGHG2/IGKC/IGLC3/IGHG3/IGHG4/SVEP1,Robust Supported
Factor3,Negative,GO_Biological_Process,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,12/97,27/828,1.35249923667945e-05,0.00251114024943485,12,IGHA1/CD8A/IGHM/IGHA2/IL7R/IGLC2/IGHG2/IGKC/IGLC3/IGHG3/IGHG4/SVEP1,Robust Supported
Factor3,Negative,GO_Biological_Process,GO:0002757,immune response-activating signaling pathway,14/97,37/828,2.3028015354432e-05,0.00384798136572558,14,IGHA1/CD38/CD8A/IGHM/IGHA2/IGHG2/FCN3/IGKC/TLR2/IGLC3/CD3E/IGHG3/IGHG4/NR4A3,Robust Supported
Factor3,Negative,GO_Biological_Process,GO:0002250,adaptive immune response,15/97,42/828,2.56697044549211e-05,0.00389946146765211,15,IGHA1/JCHAIN/CD8A/IGHM/IGHA2/IGKV3-20/IL7R/IGLC2/IGHG2/IGKC/IGLC3/CD3E/IGHG3/IGHG4/SVEP1,Robust Supported
Factor3,Negative,GO_Biological_Process,GO:0019731,antibacterial humoral response,8/97,14/828,4.45994066268851e-05,0.00596828036393654,8,IGHA1/JCHAIN/IGHM/IGHA2/IGKV3-20/IGHG2/IGHG3/IGHG4,Robust Supported
Factor3,Negative,GO_Biological_Process,GO:0002764,immune response-regulating signaling pathway,14/97,39/828,4.64318639923249e-05,0.00596828036393654,14,IGHA1/CD38/CD8A/IGHM/IGHA2/IGHG2/FCN3/IGKC/TLR2/IGLC3/CD3E/IGHG3/IGHG4/NR4A3,Robust Supported
Factor3,Negative,GO_Biological_Process,GO:0007166,cell surface receptor signaling pathway,40/97,200/828,5.40512809336439e-05,0.00645140646000849,40,DAB1/GCGR/IGHA1/CXCL12/GHR/PDGFRA/CD38/CD8A/G0S2/IGHM/IGHA2/IL7R/PTK7/PTPRD/DBH/LIFR/IGHG2/SOCS2/FCN3/AGXT/AMOTL1/IGKC/TNIK/TLR2/MCC/IGLC3/CD3E/ADGRG5/IGHG3/DCN/EFEMP1/IGHG4/HAMP/ADGRA2/NR4A3/TNXB/SSTR1/SVEP1/COL3A1/XDH,Robust Supported
Factor3,Negative,GO_Biological_Process,GO:0002252,immune effector process,16/97,51/828,8.54949679034662e-05,0.00952413942444614,16,IGHA1/CD8A/IGHM/IGHA2/IL7R/IGLC2/DBH/IGHG2/DNASE1L3/FCN3/IGKC/IGLC3/IGHG3/IGHG4/NR4A3/SVEP1,Robust Supported
Factor3,Negative,GO_Biological_Process,GO:0002253,activation of immune response,15/97,48/828,0.000154828246137566,0.0161698749559921,15,IGHA1/CD38/CD8A/IGHM/IGHA2/IGHG2/FCN3/IGKC/TLR2/IGLC3/CD3E/IGHG3/IGHG4/NR4A3/SVEP1,Robust Supported
Factor3,Negative,GO_Biological_Process,GO:0050776,regulation of immune response,18/97,65/828,0.000184452269117334,0.0181305730408862,18,IGHA1/CD38/CD8A/IGHM/IGHA2/IL7R/PTPRD/IGHG2/FCN3/IGKC/TLR2/IGLC3/CD3E/IGHG3/IGHG4/NR4A3/SVEP1/COL3A1,Robust Supported
Factor3,Negative,GO_Biological_Process,GO:0006958,"complement activation, classical pathway",7/97,13/828,0.000233485208914593,0.0216752102275714,7,IGHA1/IGHM/IGHA2/IGHG2/IGHG3/IGHG4/SVEP1,Robust Supported
Factor3,Negative,GO_Biological_Process,GO:0043605,amide catabolic process,5/97,7/828,0.000347416937523815,0.0305544054001208,5,AADAT/AASS/UROC1/TDO2/XDH,Robust Supported
Factor3,Negative,GO_Biological_Process,GO:0050778,positive regulation of immune response,15/97,53/828,0.000532483472434963,0.0444889941219411,15,IGHA1/CD38/CD8A/IGHM/IGHA2/IGHG2/FCN3/IGKC/TLR2/IGLC3/CD3E/IGHG3/IGHG4/NR4A3/SVEP1,Robust Supported
Factor3,Negative,GO_Biological_Process,GO:0007259,cell surface receptor signaling pathway via JAK-STAT,6/97,11/828,0.000631767938561938,0.0502706773969999,6,DAB1/GHR/IL7R/PTPRD/SOCS2/HAMP,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0002455,humoral immune response mediated by circulating immunoglobulin,7/97,15/828,0.000716373850881079,0.0544118502191947,7,IGHA1/IGHM/IGHA2/IGHG2/IGHG3/IGHG4/SVEP1,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0045907,positive regulation of vasoconstriction,4/97,5/828,0.000810581998229781,0.0588905443061724,4,ADRA1A/AVPR1A/CD38/DBH,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0042742,defense response to bacterium,11/97,34/828,0.000931639038440142,0.0648653680513949,11,IGHA1/JCHAIN/IGHM/IGHA2/IGKV3-20/IL7R/IGHG2/TLR2/IGHG3/IGHG4/HAMP,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0048584,positive regulation of response to stimulus,30/97,153/828,0.00109194022453591,0.0729852846079804,30,ADRA1A/IGHA1/CXCL12/GHR/PDGFRA/CD38/CD8A/G0S2/IGHM/IGHA2/IL7R/PTK7/TRPV4/IGHG2/FCN3/IGKC/TNIK/TLR2/IGLC3/CD3E/IGHG3/DCN/IGHG4/ADGRA2/NR4A3/TNXB/PTGIS/SVEP1/COL3A1/XDH,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0019730,antimicrobial humoral response,10/97,30/828,0.00124821192390232,0.080221620186184,10,IGHA1/CXCL12/JCHAIN/IGHM/IGHA2/IGKV3-20/IGHG2/IGHG3/IGHG4/HAMP,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0002684,positive regulation of immune system process,20/97,88/828,0.00140892093313605,0.0871965510840867,20,IGHA1/CXCL12/CD38/CD8A/IGHM/IGHA2/IL7R/TRPV4/VCAM1/IGHG2/FCN3/IGKC/TLR2/IGLC3/CD3E/IGHG3/IGHG4/HAMP/NR4A3/SVEP1,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0006956,complement activation,8/97,21/828,0.00148935418978747,0.0888825303976738,8,IGHA1/IGHM/IGHA2/IGHG2/FCN3/IGHG3/IGHG4/SVEP1,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0019229,regulation of vasoconstriction,5/97,9/828,0.00171596396614602,0.0955791929143335,5,ADRA1A/AVPR1A/CD38/DBH/SVEP1,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0046425,regulation of receptor signaling pathway via JAK-STAT,5/97,9/828,0.00171596396614602,0.0955791929143335,5,DAB1/GHR/IL7R/PTPRD/SOCS2,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0097696,cell surface receptor signaling pathway via STAT,6/97,13/828,0.00192515475687594,0.103055607297235,6,DAB1/GHR/IL7R/PTPRD/SOCS2/HAMP,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0007165,signal transduction,52/97,328/828,0.00211226590075684,0.103055607297235,52,ADRA1A/DAB1/AVPR1A/GCGR/IGHA1/CXCL12/GHR/PDGFRA/CD38/CD8A/PDE11A/G0S2/IGHM/IGHA2/IL7R/PTK7/RGS1/INHBE/TRPV4/IGFALS/ZNF385B/PTPRD/DBH/LIFR/IGHG2/SOCS2/FCN3/AGXT/AMOTL1/IGKC/TNIK/FBP1/TLR2/MCC/IGLC3/CD3E/KDM8/ADGRG5/IGHG3/DCN/EFEMP1/IGHG4/HAMP/ADGRA2/NR4A3/TNXB/SSTR1/PTGIS/SVEP1/COL3A1/ADCY1/XDH,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0006955,immune response,25/97,124/828,0.00215344664557082,0.103055607297235,25,IGHA1/CXCL12/JCHAIN/CD38/CD8A/IGHM/IGHA2/IGKV3-20/IL7R/IGLC2/RGS1/PTPRD/IGHG2/DNASE1L3/FCN3/IGKC/TLR2/IGLC3/CD3E/IGHG3/IGHG4/HAMP/NR4A3/SVEP1/COL3A1,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0003094,glomerular filtration,4/97,6/828,0.0022128717952843,0.103055607297235,4,IGHA1/JCHAIN/IGHA2/IGKV3-20,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0097205,renal filtration,4/97,6/828,0.0022128717952843,0.103055607297235,4,IGHA1/JCHAIN/IGHA2/IGKV3-20,Exploratory
Factor3,Negative,GO_Biological_Process,GO:1901698,response to nitrogen compound,15/97,60/828,0.00222022852345927,0.103055607297235,15,GCGR/CXCL12/GHR/TRPV4/FOSB/VCAM1/DBH/SOCS2/GPD1/FBP1/TLR2/TDO2/BCHE/NR4A3/COL3A1,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0002682,regulation of immune system process,23/97,111/828,0.00229933478516545,0.103842930432743,23,IGHA1/CXCL12/CD38/CD8A/IGHM/IGHA2/IL7R/TRPV4/PTPRD/VCAM1/IGHG2/DNASE1L3/FCN3/IGKC/TLR2/IGLC3/CD3E/IGHG3/IGHG4/HAMP/NR4A3/SVEP1/COL3A1,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0035924,cellular response to vascular endothelial growth factor stimulus,6/97,14/828,0.00305224256613116,0.126947755136674,6,PDGFRA/VCAM1/DCN/ADGRA2/TNXB/XDH,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0038084,vascular endothelial growth factor signaling pathway,5/97,10/828,0.00311481625410152,0.126947755136674,5,PDGFRA/DCN/ADGRA2/TNXB/XDH,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0042310,vasoconstriction,5/97,10/828,0.00311481625410152,0.126947755136674,5,ADRA1A/AVPR1A/CD38/DBH/SVEP1,Exploratory
Factor3,Negative,GO_Biological_Process,GO:1904892,regulation of receptor signaling pathway via STAT,5/97,10/828,0.00311481625410152,0.126947755136674,5,DAB1/GHR/IL7R/PTPRD/SOCS2,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0016358,dendrite development,6/97,15/828,0.00460948837629788,0.183391787542709,6,DAB1/PTPRD/MFSD2A/TNIK/CD3E/IGSF9,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0043434,response to peptide hormone,9/97,30/828,0.00502151729657534,0.195138497734358,9,GCGR/CXCL12/GHR/TRPV4/SOCS2/FBP1/TLR2/NR4A3/COL3A1,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0006959,humoral immune response,12/97,47/828,0.00528726472409889,0.200795894408392,12,IGHA1/CXCL12/JCHAIN/IGHM/IGHA2/IGKV3-20/IGHG2/FCN3/IGHG3/IGHG4/HAMP/SVEP1,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0048583,regulation of response to stimulus,41/97,252/828,0.00576925965812705,0.214231841971784,41,ADRA1A/DAB1/IGHA1/CXCL12/GHR/PDGFRA/CD38/CD8A/PDE11A/G0S2/IGHM/IGHA2/IL7R/PTK7/RGS1/TRPV4/PTPRD/DBH/IGHG2/DNASE1L3/SOCS2/FCN3/IGKC/TNIK/FBP1/TLR2/MCC/IGLC3/CD3E/KDM8/IGHG3/DCN/IGHG4/HAMP/ADGRA2/NR4A3/TNXB/PTGIS/SVEP1/COL3A1/XDH,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0045333,cellular respiration,4/97,8/828,0.00855981118141217,0.310944445307386,4,PPARGC1A/TRPV4/GPD1/NR4A3,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0048699,generation of neurons,17/97,83/828,0.0106652504291509,0.379183690789599,17,DAB1/CXCL12/CD38/PTK7/TRPV4/PTPRD/VCAM1/MFSD2A/SOCS2/TNIK/CD3E/BCHE/ATF5/TNXB/COL3A1/IGSF9/ADCY1,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0010975,regulation of neuron projection development,8/97,28/828,0.0112485676275957,0.391590760535674,8,DAB1/CXCL12/CD38/PTK7/TRPV4/PTPRD/MFSD2A/TNIK,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0006084,acetyl-CoA metabolic process,3/97,5/828,0.0130880767107391,0.39635605913191,3,AADAT/AASS/TDO2,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0040014,regulation of multicellular organism growth,3/97,5/828,0.0130880767107391,0.39635605913191,3,GHR/MFSD2A/SOCS2,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0046426,negative regulation of receptor signaling pathway via JAK-STAT,3/97,5/828,0.0130880767107391,0.39635605913191,3,DAB1/PTPRD/SOCS2,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0060263,regulation of respiratory burst,3/97,5/828,0.0130880767107391,0.39635605913191,3,IGHA1/JCHAIN/IGHA2,Exploratory
Factor3,Negative,GO_Biological_Process,GO:1904893,negative regulation of receptor signaling pathway via STAT,3/97,5/828,0.0130880767107391,0.39635605913191,3,DAB1/PTPRD/SOCS2,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0023052,signaling,53/97,361/828,0.0133243692050859,0.39635605913191,53,ADRA1A/DAB1/AVPR1A/GCGR/IGHA1/CXCL12/GHR/PDGFRA/CD38/CD8A/PDE11A/G0S2/IGHM/IGHA2/IL7R/PTK7/RGS1/INHBE/TRPV4/IGFALS/ZNF385B/PTPRD/DBH/LIFR/IGHG2/SOCS2/FCN3/AGXT/AMOTL1/IGKC/TNIK/FBP1/TLR2/MCC/IGLC3/CD3E/KDM8/ADGRG5/IGHG3/DCN/EFEMP1/IGHG4/HAMP/ADGRA2/BCHE/NR4A3/TNXB/SSTR1/PTGIS/SVEP1/COL3A1/ADCY1/XDH,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0042113,B cell activation,4/97,9/828,0.0140348889536251,0.39635605913191,4,CD38/IGHM/IL7R/VCAM1,Exploratory
Factor3,Negative,GO_Biological_Process,GO:1900746,regulation of vascular endothelial growth factor signaling pathway,4/97,9/828,0.0140348889536251,0.39635605913191,4,DCN/ADGRA2/TNXB/XDH,Exploratory
Factor3,Negative,GO_Biological_Process,GO:1902547,regulation of cellular response to vascular endothelial growth factor stimulus,4/97,9/828,0.0140348889536251,0.39635605913191,4,DCN/ADGRA2/TNXB/XDH,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0009725,response to hormone,15/97,72/828,0.0141360898293618,0.39635605913191,15,ADRA1A/AVPR1A/GCGR/CXCL12/GHR/CD38/TRPV4/FOSB/SOCS2/FBP1/TLR2/BCHE/NR4A3/SSTR1/COL3A1,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0051716,cellular response to stimulus,62/97,439/828,0.0141653191506706,0.39635605913191,62,ADRA1A/DAB1/AVPR1A/GCGR/IGHA1/CXCL12/GHR/PDGFRA/CD38/CD8A/PDE11A/G0S2/IGHM/IGHA2/IL7R/PTK7/MT1F/PPARGC1A/RGS1/INHBE/TRPV4/FOSB/IGFALS/ZNF385B/ADH4/PTPRD/VCAM1/DBH/MFSD2A/LIFR/IGHG2/SOCS2/FCN3/AGXT/AMOTL1/IGKC/GPD1/TNIK/PLIN1/FBP1/TLR2/MCC/IGLC3/CD3E/KDM8/ADGRG5/IGHG3/DCN/EFEMP1/IGHG4/HAMP/ADGRA2/BCHE/GPX7/NR4A3/TNXB/SSTR1/PTGIS/SVEP1/COL3A1/ADCY1/XDH,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0007154,cell communication,53/97,362/828,0.0142318154086862,0.39635605913191,53,ADRA1A/DAB1/AVPR1A/GCGR/IGHA1/CXCL12/GHR/PDGFRA/CD38/CD8A/PDE11A/G0S2/IGHM/IGHA2/IL7R/PTK7/RGS1/INHBE/TRPV4/IGFALS/ZNF385B/PTPRD/DBH/LIFR/IGHG2/SOCS2/FCN3/AGXT/AMOTL1/IGKC/TNIK/FBP1/TLR2/MCC/IGLC3/CD3E/KDM8/ADGRG5/IGHG3/DCN/EFEMP1/IGHG4/HAMP/ADGRA2/BCHE/NR4A3/TNXB/SSTR1/PTGIS/SVEP1/COL3A1/ADCY1/XDH,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0002376,immune system process,28/97,164/828,0.0146881995701877,0.402360352160388,28,IGHA1/CXCL12/JCHAIN/CD38/CD8A/IGHM/IGHA2/IGKV3-20/IL7R/IGLC2/RGS1/TRPV4/PTPRD/VCAM1/DBH/IGHG2/DNASE1L3/FCN3/IGKC/TLR2/IGLC3/CD3E/IGHG3/IGHG4/HAMP/NR4A3/SVEP1/COL3A1,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0009719,response to endogenous stimulus,22/97,121/828,0.0156705015873664,0.422345292782084,22,ADRA1A/AVPR1A/GCGR/CXCL12/GHR/PDGFRA/CD38/TRPV4/FOSB/MXRA5/VCAM1/SOCS2/FBP1/TLR2/DCN/ADGRA2/BCHE/NR4A3/TNXB/SSTR1/COL3A1/XDH,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0009063,amino acid catabolic process,6/97,19/828,0.0168741636544828,0.436702359605146,6,AADAT/AASS/AGXT/UROC1/TDO2/HOGA1,Exploratory
Factor3,Negative,GO_Biological_Process,GO:1901606,alpha-amino acid catabolic process,6/97,19/828,0.0168741636544828,0.436702359605146,6,AADAT/AASS/AGXT/UROC1/TDO2/HOGA1,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0007169,cell surface receptor protein tyrosine kinase signaling pathway,12/97,54/828,0.0169872252389793,0.436702359605146,12,GHR/PDGFRA/CD8A/SOCS2/CD3E/DCN/EFEMP1/ADGRA2/NR4A3/TNXB/SVEP1/XDH,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0009755,hormone-mediated signaling pathway,4/97,10/828,0.0213149374199741,0.53160090192204,4,GCGR/GHR/NR4A3/SSTR1,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0097009,energy homeostasis,4/97,10/828,0.0213149374199741,0.53160090192204,4,PPARGC1A/TRPV4/MFSD2A/NR4A3,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0035264,multicellular organism growth,5/97,15/828,0.0229409798155431,0.542915036685426,5,GHR/MFSD2A/SOCS2/ATF5/COL3A1,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0030182,neuron differentiation,15/97,76/828,0.0230690351902065,0.542915036685426,15,DAB1/CXCL12/CD38/PTK7/TRPV4/PTPRD/VCAM1/MFSD2A/SOCS2/TNIK/CD3E/ATF5/TNXB/IGSF9/ADCY1,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0072521,purine-containing compound metabolic process,11/97,50/828,0.0238340389064903,0.542915036685426,11,CD38/AADAT/AASS/GPD1/SLC2A9/FBP1/TDO2/ACSM3/PTGIS/ADCY1/XDH,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0045730,respiratory burst,3/97,6/828,0.0239632816261939,0.542915036685426,3,IGHA1/JCHAIN/IGHA2,Exploratory
Factor3,Negative,GO_Biological_Process,GO:1900747,negative regulation of vascular endothelial growth factor signaling pathway,3/97,6/828,0.0239632816261939,0.542915036685426,3,DCN/ADGRA2/XDH,Exploratory
Factor3,Negative,GO_Biological_Process,GO:1902548,negative regulation of cellular response to vascular endothelial growth factor stimulus,3/97,6/828,0.0239632816261939,0.542915036685426,3,DCN/ADGRA2/XDH,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0048666,neuron development,13/97,63/828,0.0240429160471104,0.542915036685426,13,DAB1/CXCL12/CD38/PTK7/TRPV4/PTPRD/MFSD2A/TNIK/CD3E/ATF5/TNXB/IGSF9/ADCY1,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0007610,behavior,10/97,44/828,0.0248768376886382,0.554255943702859,10,DAB1/AVPR1A/CXCL12/FOSB/DBH/MFSD2A/TLR2/BCHE/NR4A3/ADCY1,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0031175,neuron projection development,12/97,57/828,0.025794894590792,0.567148274489651,12,DAB1/CXCL12/CD38/PTK7/TRPV4/PTPRD/MFSD2A/TNIK/CD3E/TNXB/IGSF9/ADCY1,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0006753,nucleoside phosphate metabolic process,10/97,45/828,0.0289068158452596,0.622194867171732,10,CD38/AADAT/AASS/GPD1/FBP1/TDO2/ACSM3/PTGIS/ADCY1/XDH,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0022008,neurogenesis,18/97,99/828,0.0292094607662249,0.622194867171732,18,DAB1/CXCL12/CD38/PTK7/TRPV4/PTPRD/VCAM1/MFSD2A/SOCS2/TNIK/TLR2/CD3E/BCHE/ATF5/TNXB/COL3A1/IGSF9/ADCY1,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0048545,response to steroid hormone,7/97,27/828,0.0299381979585727,0.622194867171732,7,AVPR1A/GHR/CD38/FOSB/TLR2/BCHE/NR4A3,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0045927,positive regulation of growth,5/97,16/828,0.0303305612354781,0.622194867171732,5,AVPR1A/CXCL12/GHR/CD38/MFSD2A,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0006081,cellular aldehyde metabolic process,4/97,11/828,0.0305326026978348,0.622194867171732,4,BCO2/ADH4/AGXT/HOGA1,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0030534,adult behavior,4/97,11/828,0.0305326026978348,0.622194867171732,4,DAB1/CXCL12/FOSB/DBH,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0007167,enzyme-linked receptor protein signaling pathway,15/97,79/828,0.0321962668728259,0.648192312584243,15,GHR/PDGFRA/CD8A/PTPRD/LIFR/SOCS2/CD3E/DCN/EFEMP1/ADGRA2/NR4A3/TNXB/SVEP1/COL3A1/XDH,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0021537,telencephalon development,6/97,22/828,0.0346374462836743,0.659403811564958,6,DAB1/AVPR1A/CXCL12/MFSD2A/ATF5/COL3A1,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0016054,organic acid catabolic process,8/97,34/828,0.0360676865471897,0.659403811564958,8,AADAT/AASS/MFSD2A/AGXT/UROC1/TDO2/HAO2/HOGA1,Exploratory
Factor3,Negative,GO_Biological_Process,GO:0046395,carboxylic acid catabolic process,8/97,34/828,0.0360676865471897,0.659403811564958,8,AADAT/AASS/MFSD2A/AGXT/UROC1/TDO2/HAO2/HOGA1,Exploratory
